scenario_id,sensor_mode,rmse_full_mean,rmse_full_std,rmse_steady_mean,rmse_steady_std,rmse_steady_xy_mean,rmse_steady_xy_std,median_error_steady_mean,mean_nees_steady_mean,n_repetitions,divergence_rate_pct,empirical_divergence_rate_pct
1,baseline_geometric,1.8076325969747138,0.20837707108402653,1.8076325969747138,0.20837707108402653,1.7710823853248172,0.2051121006346832,0.0929475973575024,,30,0.0,0.0
1,camera_only,0.589603462970911,2.5908043107149084,0.06970866635615088,0.009199118925629867,0.060486680930720196,0.010330605620741607,0.0502818048237506,2.900182188616755,30,0.0,0.0
1,fusion,0.4008001736388371,0.5063513920369614,0.1917266565262285,0.010591845081537186,0.1748158809624492,0.010004259928169685,0.1480268468969457,43.482072682945805,30,0.0,0.0
1,rf_only,304434918.4224764,147001480.44655415,304434918.4224764,147001480.44655415,304434918.42247635,147001480.4465542,261995366.67784828,237326336880346.8,30,100.0,100.0
1,track_to_track_ci,1.7954548221497146,1.1873608117000212,0.2816584620877486,0.027136978022618836,0.24651456788872286,0.0293245459587972,0.26137017869376883,41.51634304898444,30,0.0,0.0
2,baseline_geometric,2.5671476359691807,0.26481786990270334,2.5671476359691807,0.26481786990270334,2.494446581191671,0.25883518329463157,0.0822254482297129,,30,0.0,0.0
2,camera_only,1.6741228440693408,1.805269776295609,0.14033858098371044,0.04210618188819672,0.13323532730955862,0.04229955238986934,0.04367766050294404,2.9078337709520983,30,0.0,0.0
2,fusion,0.44579823907889166,0.16479605567490982,0.2524928197649077,0.014816711132052195,0.2361277747444065,0.014608896496422863,0.15373645300226652,47.25494767203136,30,0.0,0.0
2,rf_only,6.867579388505119,0.018425872232226585,6.867579388505119,0.018425872232226585,1.951286160380811,0.06423906795022279,6.187800842847481,104.49720199182069,30,100.0,0.0
2,track_to_track_ci,1.8916062852097475,1.2882636833317633,0.4225782699899374,0.5127854164089297,0.3845139648389448,0.49931095837710054,0.2827956140169556,45.392019550728605,30,6.666666666666665,0.0
3,baseline_geometric,2.394047854803063,0.22664396274349047,2.394047854803063,0.22664396274349047,2.3408316811605676,0.22184325843445782,0.08727570547453306,,30,0.0,0.0
3,camera_only,2.995792054555812,3.598461720212896,0.06650200054339583,0.008048187800934479,0.05565862207077099,0.009131585111114024,0.04594013133651021,2.9335885999912183,30,0.0,0.0
3,fusion,0.4711831930523367,0.2699131964871485,0.16105041707601536,0.006458366656137746,0.14513569908656207,0.006305572479014282,0.15866834429530666,40.125023736380285,30,0.0,0.0
3,rf_only,6.776992895678745,0.022429599510479226,6.776992895678745,0.022429599510479226,1.6022416237582187,0.09362081205081657,6.087031667968348,86.52285699264158,30,100.0,0.0
3,track_to_track_ci,2.3692233665319002,1.291390386340202,0.3101582603932649,0.24179127601678424,0.27011455283408176,0.23973028958883033,0.2565433810567312,42.54107307221519,30,3.3333333333333326,0.0
